centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,ISD_adress_dict,host,host_id,alias_dict,shared_license,avg_USD/night,mean_latitude,mean_longitude,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_building,GCODE_hamlet,GCODE_quarter,GCODE_tourism,GCODE_square,GCODE_shop,GCODE_commercial,GCODE_amenity,GCODE_man_made,GCODE_residential,GCODE_railway,GCODE_historic,GCODE_leisure,GCODE_city_block,GCODE_town,GCODE_natural,GCODE_aeroway,GCODE_military,GCODE_retail,GCODE_place,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,ISD_found
0-5s,5,1,{'STRLH/STRBB': 5},{'Exempt (not verified)': 5},,{},Boston Park Plaza,CorpGroup26,{'243931054.0': 5},False,345.0,42.351040000000005,-71.0697,,50,Park Plaza,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,Boston Park Plaza,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-6s,5,1,{'387420': 5},{'Active (limit exceeded)': 5},listing,{'11 Lonsdale ST 16 2 Dorchester MA 02124': 5},Natalia,15583990,{'nan': 5},False,85.2,42.28992,-71.06248000000001,,11,Lonsdale Street,Fields Corner,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,True
0-8s,4,1,{'398249': 4},{'Active': 4},,{'589 Saratoga ST 01 2 East Boston MA 02128': 4},Lance And Shelly,139072570,{'nan': 4},False,53.5,42.3813725,-71.0231125,,589,Saratoga Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),5.6709,3.4025,1.8521,True
0-7s,4,1,{'Missing': 4},{'No license claimed': 4},,{},Lance,CorpGroup11,{'71783.0': 4},False,44.75,42.31384,-71.06113,,14,Peverell Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-9s,4,1,{'415200': 4},{'Expired/Void/Revoked': 4},,{},Yi,19548932,{'nan': 4},False,72.97,42.35796,-71.12944,,16,Hooker Street,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-10s,4,1,{'STRLH/STRBB': 4},{'Exempt (not verified)': 4},,{},Charlesmark,224820689,{'nan': 4},False,173.07,42.35006,-71.07858,,655,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-221s,4,1,{'Missing': 4},{'No license claimed': 4},,{},Blueground,CorpGroup3,{'107434423.0': 4},False,184.0,42.349059999999994,-71.04472,,399,Congress Street,Seaport District,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,NEMA Boston,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-11s,4,1,{'415050': 4},{'Active (limit exceeded)': 4},listing,{'6 Saint Margaret ST 07 2 Boston MA 02125': 4},Karolina,167556315,{'nan': 4},False,60.0,42.32246,-71.06066,,6,Saint Margaret Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,True
0-12s,4,1,{'413140': 4},{'Active (limit exceeded)': 4},listing,{'27 Dexter ST 07 South Boston MA 02127': 4},Manuela,26098645,{'nan': 4},False,51.5,42.33034,-71.05802,,23,Dexter Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,True
0-220s,4,1,{'Missing': 4},{'No license claimed': 4},,{},Lance,CorpGroup11,{'71783.0': 4},False,89.25,42.3221225,-71.0609525,,230,Boston Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),4.34728,2.4822,1.3452,False
0-19s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Thomas,52081526,{'nan': 3},False,64.67,42.32731,-71.09191,,15,Dorr Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-18s,3,1,{'STRLH/STRBB': 3},{'Exempt (not verified)': 3},,{},Copley,85130,{'nan': 3},False,145.67,42.344590000000004,-71.08019,,,West Newton Street,South End,South End,Boston,Suffolk County,Massachusetts,02199,United States of America,us,,,,Copley House,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-442s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Lance,CorpGroup11,{'71783.0': 3},False,84.33,42.31321,-71.10815,,5,Biltmore Street,Forest Hills,Jamaica Plain,Boston,Suffolk County,Massachusetts,02130,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-13s,3,1,{'415697': 3},{'Active': 3},,{'182 Heath ST 10 Jamaica Plain MA 02130': 3},Flores,345724818,{'nan': 3},False,44.24,42.32480131248303,-71.10436682451791,,31,Walden Street,,Roxbury,Boston,Suffolk County,Massachusetts,02130-0947,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,True
0-14s,3,1,{'415714': 3},{'Active (limit exceeded)': 3},listing,{'30 Juniper ST 09 2 Roxbury MA 02119': 3},Michelle,255183,{'nan': 3},False,65.0,42.32546,-71.08894000000001,,30,Juniper Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,True
0-15s,3,1,{'397944': 3},{'Expired/Void/Revoked': 3},,{},Keith (& Beth),9241244,{'nan': 3},False,53.0,42.2779,-71.14423000000001,,89,Robin Street,Highland,West Roxbury,Boston,Suffolk County,Massachusetts,02132-1239,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-17s,3,1,{'STRLH/STRBB': 3},{'Exempt (not verified)': 3},,{},Laura And Olivia,5430185,{'nan': 3},False,115.67,42.34301,-71.07304666666667,,45,Upton Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),7.34421,5.4969,3.1996,False
0-658s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Lance,CorpGroup11,{'71783.0': 3},False,98.0,42.33931,-71.15122,,110,Strathmore Road,,Brighton,Boston,Suffolk County,Massachusetts,02445-5841,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-16s,3,1,{'398624': 3},{'Active': 3},,{'101 P ST 06 South Boston MA 02127': 3},Bill And Maureen,52881930,{'nan': 3},False,125.9,42.334509999999995,-71.02731666666666,,101,P Street,City Point,South Boston,Boston,Suffolk County,Massachusetts,02210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),3.60522,2.4035,1.0407,True
0-444s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Huggy,CorpGroup14,{'18517776.0': 3},False,36.0,42.31313,-71.09335,,27,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-795s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Blueground,CorpGroup3,{'107434423.0': 3},False,122.0,42.34317,-71.08323,,179,Saint Botolph Street,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-20s,3,1,{'STRHS': 3},{'Exempt (not verified)': 3},,{},Churchill,CorpGroup2,"{'9419684.0': 2, '30283594.0': 1}",False,148.67,42.351956666666666,-71.06008333333334,,71,Ping On Street,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too close),4.66619,3.5084,1.7359,False
0-21s,3,1,{'406565': 3},{'Active': 3},,{'158 W Brookline ST 04 4 Roxbury MA 02118': 3},Edward,1651480,{'nan': 3},False,151.67,42.34232,-71.07594666666667,,158,West Brookline Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),1.80239,1.2016,0.5203,True
0-443s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Blueground,CorpGroup3,{'107434423.0': 3},False,160.0,42.35022,-71.09091,,527,Beacon Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-657s,3,1,{'Missing': 3},{'No license claimed': 3},,{},Blueground,CorpGroup3,{'107434423.0': 3},False,202.67,42.34863,-71.07409,,135,Clarendon Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,One Back Bay,,,,,,,,,,,,,,,,,,,,unknown (too close),0.0,0.0,0.0,False
0-22s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Firlian,67103816,{'nan': 2},False,36.0,42.31626,-71.092215,,300,Walnut Avenue,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02130-0947,United States of America,us,,,,National Center of Afro-American Artists (NCAAA) Museum,,,,,,,,,,,,,,,,,unknown (too few),1.35235,1.3523,0.0,False
0-29s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Luxurious,CorpGroup20,{'18202088.0': 2},False,146.0,42.367725,-71.04122,,15,Monsignor Albert A Jacobbe Road,Gove Street,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),3.25942,3.2594,0.0,False
0-222s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Churchill,CorpGroup2,"{'9419684.0': 1, '30283594.0': 1}",False,136.0,42.351675,-71.06110999999999,,34,Harrison Avenue,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),3.25999,3.26,0.0,False
0-445s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Churchill,CorpGroup2,{'9419684.0': 2},False,199.0,42.34411,-71.1013,,180,Brookline Avenue,Audubon Square,Jamaica Plain,Boston,Suffolk County,Massachusetts,02215,United States of America,us,Fenway Triangle Trilogy,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-906s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Blueground,CorpGroup3,{'107434423.0': 2},False,218.5,42.3614,-71.05261999999999,,,Commercial Street,Dock Square,North End,Boston,Suffolk County,Massachusetts,02109,United States of America,us,Mercantile Hall,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-23s,2,1,{'387480': 2},{'Active (limit exceeded)': 2},listing,{'55 Perthshire RD 22 2 Brighton MA 02135': 2},Charles,16441460,{'nan': 2},False,47.0,42.35396,-71.167755,,55,Perthshire Road,Faneuil,Brighton,Boston,Suffolk County,Massachusetts,02435,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),3.88691,3.8869,0.0,True
0-659s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Churchill,CorpGroup2,{'30283594.0': 2},False,142.0,42.351555000000005,-71.06132,,7;15,Beach Street,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),5.46654,5.4665,0.0,False
0-25s,2,1,{'STRES': 2},{'Exempt (not verified)': 2},,{},Cindy,CorpGroup10,{'18110188.0': 2},False,101.0,42.35198,-71.12495,,,Commonwealth Avenue,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,Packards Corner,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
3-1s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Blueground,CorpGroup3,{'107434423.0': 2},False,262.0,42.349920000000004,-71.06943000000001,,100,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02117,United States of America,us,The Arlington,,,,Eugene T. Zanni Square,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-27s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Anne,CorpGroup22,{'105851798.0': 2},False,51.0,42.30753,-71.06525,,309,Bowdoin Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),3.64433,3.6443,0.0,False
0-28s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Steven,CorpGroup17,{'275849638.0': 2},False,245.0,42.35795,-71.05421,,116;118,Milk Street,Dock Square,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-796s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Lance,CorpGroup11,{'71783.0': 2},False,92.5,42.3309,-71.10923000000001,,48,Parker Hill Avenue,,Roxbury,Boston,Suffolk County,Massachusetts,02130-4803,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-24s,2,1,{'391602': 2},{'Expired/Void/Revoked': 2},,{},Ellen,19008767,{'nan': 2},False,244.0,42.33898,-71.050895,,,West Broadway,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,Burger King,,,,,,,,,,,,,unknown (too few),1.35186,1.3519,0.0,False
0-26s,2,1,{'STRES': 2},{'Exempt (not verified)': 2},,{},Boaton Corporate Housing,CorpGroup33,{'20079643.0': 2},False,282.0,42.36456,-71.06923,,,Emerson Place,Waterfront,West End,Boston,Suffolk County,Massachusetts,02214,United States of America,us,Vesta at West End Apartments,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-33s,2,1,{'416758': 2},{'Expired/Void/Revoked': 2},,{},Deborah,CorpGroup44,{'3029783.0': 2},False,228.0,42.37579,-71.04981,,,Shipway Place,,Charlestown,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,Pier 8,Shipway Place Condos,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-446s,2,1,{'STRES': 2},{'Exempt (not verified)': 2},,{},Cindy,CorpGroup10,{'18110188.0': 2},False,89.72,42.352125,-71.123605,,1065,Commonwealth Avenue,Audubon Square,Allston,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,Star Market,,,,,,,,,,,,,,,unknown (too few),5.63115,5.6312,0.0,False
0-223s,2,1,{'STRES': 2},{'Exempt (not verified)': 2},,{},Cindy,CorpGroup10,{'18110188.0': 2},False,92.43,42.352265,-71.12445,,,Brighton Avenue,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,88 Food Court,,,,,,,,,,,,,unknown (too few),5.46654,5.4665,0.0,False
0-660s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Huggy,CorpGroup14,{'18517776.0': 2},False,37.0,42.31341,-71.09357,,17,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),2.70482,2.7048,0.0,False
0-31s,2,1,{'416603': 2},{'Active': 2},,{'16 Howes ST 13 2 Dorchester MA 02125': 2},Piter & Stacy,30342817,{'nan': 2},False,40.5,42.317769999999996,-71.057945,,14,Howes Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),3.88715,3.8872,0.0,True
0-32s,2,1,{'386945': 2},{'Active': 2},,{'68 Welles AVE 17 2 Dorchester MA 02124': 2},Eddie & Nayeli,102027626,{'nan': 2},False,64.0,42.28901,-71.06819,,68,Welles Avenue,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,True
0-907s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Churchill,CorpGroup2,"{'9419684.0': 1, '30283594.0': 1}",False,158.5,42.351185,-71.06001499999999,,,Beach Street,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,Truong Thanh Liquor,,,,,,,,,,,,,,,unknown (too few),5.63115,5.6312,0.0,False
0-797s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Churchill,CorpGroup2,{'9419684.0': 2},False,254.0,42.35165,-71.06158500000001,,7;15,Beach Street,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,,,,Phillips Square,,,,,,,,,,,,,,,,unknown (too few),1.35159,1.3516,0.0,False
0-34s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Hank,9974594,{'nan': 2},False,82.0,42.350725,-71.134455,,18,Greylock Road,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),5.63116,5.6312,0.0,False
0-224s,2,1,{'STRLH/STRBB': 2},{'Exempt (not verified)': 2},,{},Laura And Olivia,5430185,{'nan': 2},False,183.0,42.343085,-71.07316,,45,Upton Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),1.82218,1.8222,0.0,False
3-63s,2,1,{'Missing': 2},{'No license claimed': 2},,{},Blueground,CorpGroup3,{'107434423.0': 2},False,175.0,42.36497,-71.06886999999999,,10,Emerson Place,Waterfront,West End,Boston,Suffolk County,Massachusetts,02114,United States of America,us,Emerson Place Apartments,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-35s,2,1,{'STRHS': 2},{'Exempt (not verified)': 2},,{},Post Group,CorpGroup24,{'9410008.0': 2},False,414.5,42.34877,-71.08418,,46,Gloucester Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,Block G,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,False
0-225s,2,1,{'387480': 2},{'Active (limit exceeded)': 2},listing,{'55 Perthshire RD 22 2 Brighton MA 02135': 2},Charles,16441460,{'nan': 2},False,47.5,42.354009999999995,-71.16776,,55,Perthshire Road,Faneuil,Brighton,Boston,Suffolk County,Massachusetts,02435,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),0.0,0.0,0.0,True
0-30s,2,1,{'918313': 2},{'Not found (fabricated)': 2},,{'476 Columbus AVE 04 Boston MA 02118': 2},Sonder,CorpGroup5,{'12243051.0': 2},False,354.5,42.344609999999996,-71.10218499999999,,,Brookline Avenue,Audubon Square,Jamaica Plain,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,401 Park,,,,,,,,,,,,,,,unknown (too few),4.05523,4.0552,0.0,True
0-447s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Mac,CorpGroup38,{'26704689.0': 1},False,30.0,42.334109999999995,-71.05343,,168,West Ninth Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
3-64s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,101.0,42.351859999999995,-71.12534000000001,,,Commonwealth Avenue,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,Packards Corner,,,,,,,,,,unknown (too few),,,,False
3-2s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,95.0,42.35241,-71.12526,,20,Malvern Street,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-908s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,95.0,42.35245,-71.1237,,1065,Commonwealth Avenue,Audubon Square,Allston,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,Star Market,,,,,,,,,,,,,,,unknown (too few),,,,False
0-798s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,101.0,42.3527,-71.1255,,20,Malvern Street,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-38s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Mac,CorpGroup38,{'26704689.0': 1},False,39.0,42.33448,-71.05309,,159,West Eighth Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-226s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Mac,CorpGroup38,{'26704689.0': 1},False,42.0,42.336259999999996,-71.05353000000001,,151,D Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-36s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Evonify,CorpGroup8,{'212359760.0': 1},False,134.0,42.342490000000005,-71.08326,,22,Albemarle Street,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
0-37s,1,1,{'Missing': 1},{'No license claimed': 1},,{},Zeus,CorpGroup18,{'48005494.0': 1},False,123.0,42.35471,-71.05214000000001,,,Atlantic Avenue,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,,,,,,,,,,,,,,,Rose Kennedy Greenway,,,,,unknown (too few),,,,False
9-358s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,90.0,42.35232,-71.12519,,20,Malvern Street,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-1s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,93.0,42.35264,-71.12385,,1065,Commonwealth Avenue,Audubon Square,Allston,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,,,,,Star Market,,,,,,,,,,,,,,,unknown (too few),,,,False
9-191s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,101.0,42.35215,-71.12425999999999,,,Brighton Avenue,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
9-46s,1,1,{'STRES': 1},{'Exempt (not verified)': 1},,{},Cindy,CorpGroup10,{'18110188.0': 1},False,91.0,42.35192,-71.12404000000001,,1080;1082,Commonwealth Avenue,,Allston,Boston,Suffolk County,Massachusetts,02134-1433,United States of America,us,,,,,,,,,,,,,,,,,,,,,unknown (too few),,,,False
