id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,centroid_group,centroid_group_recognized,centroid_group_distance,sub_centroid,sub_centroid_distance
40601,https://www.airbnb.com/rooms/40601,Private room & bath - Jamaica Plain,174986,https://www.airbnb.com/users/show/174986,Robert,"Boston, Massachusetts, United States",Jamaica Plain,2020-09-01,,42.3151,-71.11108,Private room in house,Private room,2,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Garden or backyard"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Host greets you"", ""First aid kit"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",85.0,56,180,56.0,t,0,0,0,243,77,408632,f,,,Expired/Void/Revoked,Inactive,,Home Share Unit,1.0,,Expired/Void/Revoked,Inactive,,-1.0,,,,,
45987,https://www.airbnb.com/rooms/45987,Gorgeous Garden Studio Charlestown,205107,https://www.airbnb.com/users/show/205107,Atef,"Charlestown, Massachusetts, United States",Charlestown,2020-08-31,,42.37404,-71.06118000000001,Entire apartment,Entire home/apt,3,1.0,0.0,"[""Dryer"", ""Wifi"", ""Heating"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Washer"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dishes and silverware"", ""Fire extinguisher""]",125.0,3,180,3.0,t,29,59,89,89,130,409822,f,,,Expired/Void/Revoked,Inactive,,Owner-Adjacent Unit,1.0,,Expired/Void/Revoked,Inactive,,-1.0,,,,,
60029,https://www.airbnb.com/rooms/60029,Room in geographical heart of Hub,255183,https://www.airbnb.com/users/show/255183,Michelle,"Boston, Massachusetts, United States",Roxbury,2020-09-01,,42.32584,-71.08927,Private room in apartment,Private room,1,1.0,1.0,"[""Wifi"", ""Heating"", ""Hangers"", ""Extra pillows and blankets"", ""Bed linens"", ""Garden or backyard"", ""Essentials"", ""Laptop-friendly workspace"", ""Hair dryer"", ""Host greets you"", ""Smoke alarm"", ""First aid kit"", ""Shampoo"", ""Hot water"", ""Carbon monoxide alarm"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",78.0,14,120,14.0,t,29,59,89,179,141,415714,f,,,Active (limit exceeded),Active,30 Juniper ST 09 2 Roxbury MA 02119,Limited Share Unit,5.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,94_1,False,117.76586705684939,,
60356,https://www.airbnb.com/rooms/60356,Bookcase 1bd facing Boston Common,CorpGroup40,https://www.airbnb.com/users/show/26988,Sassmorr,,Downtown,2020-08-31,,42.35712,-71.0618,Entire apartment,Entire home/apt,2,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Elevator"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Paid parking off premises"", ""Cable TV"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Cooking basics"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",85.43,32,365,32.0,t,22,23,23,296,18,Missing,f,Anne,26988.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,77_1,False,189.152435934081,,
67774,https://www.airbnb.com/rooms/67774,Corner 1 bed facing Golden Dome,CorpGroup40,https://www.airbnb.com/users/show/26988,Sassmorr,"Boston, Massachusetts, United States",Beacon Hill,2020-08-31,,42.358670000000004,-71.06331999999999,Entire condominium,Entire home/apt,3,1.0,1.0,"[""Kitchen"", ""Heating"", ""Hangers"", ""Elevator"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Paid parking off premises"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Air conditioning"", ""Dryer"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Iron"", ""Fire extinguisher""]",85.0,32,260,32.0,t,0,0,4,279,44,Missing,f,Anne,26988.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,77_2,False,47.396020141492755,,
69369,https://www.airbnb.com/rooms/69369,Room in Boston off the beaten path,255183,https://www.airbnb.com/users/show/255183,Michelle,"Boston, Massachusetts, United States",Roxbury,2020-09-01,,42.32614,-71.0884,Private room in house,Private room,2,1.0,1.0,"[""Dryer"", ""Wifi"", ""Heating"", ""Bed linens"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Laptop-friendly workspace"", ""Hair dryer"", ""Host greets you"", ""Fire extinguisher"", ""First aid kit"", ""Washer"", ""Hot water"", ""Carbon monoxide alarm"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Dishes and silverware""]",82.0,14,120,14.0,t,29,59,89,179,120,415714,f,,,Active (limit exceeded),Active,30 Juniper ST 09 2 Roxbury MA 02119,Limited Share Unit,5.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,94_1,False,217.31558153937038,,
77681,https://www.airbnb.com/rooms/77681,Waterfall Room: Bunker Hill B&B,416912,https://www.airbnb.com/users/show/416912,Christiane,,Charlestown,2020-09-01,,42.37853,-71.06177,Private room in apartment,Private room,2,1.0,1.0,"[""Dryer"", ""Wifi"", ""Heating"", ""Kitchen"", ""Breakfast"", ""TV"", ""Washer"", ""Hot tub"", ""Air conditioning""]",140.0,2,730,2.0,t,0,0,0,0,54,415924,f,,,Active,Active,80 Elm ST 02 Charlestown MA 02129,Limited Share Unit,1.0,,Active,Active,,-1.0,,,,,
95453,https://www.airbnb.com/rooms/95453,Royal Street Studio: Allston,508268,https://www.airbnb.com/users/show/508268,Richard,,Allston,2020-08-31,,42.35937,-71.13156,Entire apartment,Entire home/apt,2,,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Garden or backyard"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Private entrance"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",199.0,5,60,5.0,t,27,57,87,267,41,383183,f,,,Expired/Void/Revoked,Inactive,,Home Share Unit,1.0,,Expired/Void/Revoked,Inactive,,-1.0,,,,,
163941,https://www.airbnb.com/rooms/163941,$99* SPECIAL* 2 bed ApT! Location!,8229,https://www.airbnb.com/users/show/8229,Terry,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.32965,-71.09503000000001,Entire condominium,Entire home/apt,6,2.0,3.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Private entrance"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Keypad"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",231.0,3,365,3.0,t,0,0,0,0,228,STRHS,f,,,Exempt (not verified),,,Exempt: Hospital Stays,,,Exempt (not verified),Exempt (not verified): Hospital Stays,,0.0,67_1,False,81.13468074506928,,
169430,https://www.airbnb.com/rooms/169430,Stylish + Comfortable Urban Victorian,807320,https://www.airbnb.com/users/show/807320,Kate,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.32158,-71.09047,Entire apartment,Entire home/apt,10,4.0,5.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Garden or backyard"", ""Children\u2019s books and toys"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Essentials"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Game console"", ""Cooking basics"", ""Air conditioning"", ""Bathtub"", ""Coffee maker"", ""Dryer"", ""BBQ grill"", ""Pool"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""First aid kit"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises""]",88.0,2,7,2.0,t,0,0,0,0,149,398087,f,,,Expired/Void/Revoked,Expired,,Home Share Unit,1.0,,Expired/Void/Revoked,Expired,,-1.0,,,,,
182613,https://www.airbnb.com/rooms/182613,Great 2BR in Boston near everything w free parking,875739,https://www.airbnb.com/users/show/875739,Max,"Boston, Massachusetts, United States",Charlestown,2020-08-31,,42.377390000000005,-71.06044,Entire apartment,Entire home/apt,6,2.0,4.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Essentials"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Bathtub"", ""Coffee maker"", ""Dryer"", ""Refrigerator"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Host greets you"", ""First aid kit"", ""Free street parking"", ""Ethernet connection"", ""Iron"", ""Free parking on premises""]",119.0,91,1125,91.0,t,0,0,7,9,106,Missing,t,,,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,
190170,https://www.airbnb.com/rooms/190170,In-Law Suite w/Room to Spare :-),841314,https://www.airbnb.com/users/show/841314,Fanny & Candice,,Dorchester,2020-08-31,,42.310390000000005,-71.06907,Entire guest suite,Entire home/apt,4,2.0,1.0,"[""Wifi"", ""Heating"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Cable TV"", ""Carbon monoxide alarm"", ""Fire extinguisher""]",42.0,7,365,7.0,t,8,8,8,8,70,384505,f,,,Active,Active,5 Drayton AVE 15 2 Dorchester MA 02125,Home Share Unit,1.0,,Active,Active,,-1.0,,,,,
197727,https://www.airbnb.com/rooms/197727,"Great Boston neighborhood , Jamaica Plain",964356,https://www.airbnb.com/users/show/964356,Jill,"Boston, Massachusetts, United States",Jamaica Plain,2020-09-01,,42.3132,-71.11832,Private room in apartment,Private room,1,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Garden or backyard"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Single level home"", ""Essentials"", ""Cable TV"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Lock on bedroom door"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Coffee maker"", ""Cleaning before checkout"", ""Dryer"", ""BBQ grill"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Lake access"", ""Host greets you"", ""First aid kit"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises""]",60.0,30,180,30.0,t,0,0,29,119,44,024542,f,,,Not found (fabricated),Not found (fabricated),,Home Share Unit,1.0,,Not found (fabricated),Not found (fabricated),,-1.0,,,,,
197972,https://www.airbnb.com/rooms/197972,Perfect Location--Super Studio!,965697,https://www.airbnb.com/users/show/965697,Chris & Kristina,"Boston, Massachusetts, United States",Jamaica Plain,2020-08-31,,42.31732,-71.10834,Entire apartment,Entire home/apt,2,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Private entrance"", ""Air conditioning"", ""Coffee maker"", ""Lockbox"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""First aid kit"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",145.0,2,180,2.0,t,0,0,0,0,388,409453,t,,,Active,Active,57 Spring Park AVE 19 2 Jamaica Plain MA 02130,Owner-Adjacent Unit,2.0,,Active,Active,,0.0,223_1,False,35.517237680295864,,
210097,https://www.airbnb.com/rooms/210097,Treetop Haven in the City,1035747,https://www.airbnb.com/users/show/1035747,Maria Elena,"Boston, Massachusetts, United States",Jamaica Plain,2020-08-31,,42.31864,-71.10641,Entire house,Entire home/apt,2,,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Beach essentials"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Private entrance"", ""Air conditioning"", ""Coffee maker"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Lake access"", ""Host greets you"", ""First aid kit"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",93.0,3,31,3.0,t,0,10,26,249,195,414064,f,,,Active,Active,53 Boylston ST 19 1 Jamaica Plain MA 02130,Limited Share Unit,1.0,,Active,Active,,-1.0,,,,,
220676,https://www.airbnb.com/rooms/220676,Private room off the Freedom Trail.,1144302,https://www.airbnb.com/users/show/1144302,Howard,"Boston, Massachusetts, United States",North End,2020-09-01,,42.365390000000005,-71.05438000000001,Private room in townhouse,Private room,3,1.0,1.0,"[""Heating"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Wifi"", ""Lock on bedroom door"", ""Hair dryer"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Air conditioning"", ""Dryer"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""First aid kit"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",145.0,3,1125,3.0,t,29,59,89,89,251,396046,f,,,Active,Active,17R Charter ST 03 Boston MA 02113,Limited Share Unit,1.0,,Active,Active,,-1.0,,,,,
257588,https://www.airbnb.com/rooms/257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,https://www.airbnb.com/users/show/1355344,Meri,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.330659999999995,-71.03984,Entire apartment,Entire home/apt,4,2.0,2.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Beach essentials"", ""Washer"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Essentials"", ""Cable TV"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Cooking basics"", ""Air conditioning"", ""Private entrance"", ""Coffee maker"", ""Dryer"", ""BBQ grill"", ""Bed linens"", ""Smoke alarm"", ""Laptop-friendly workspace"", ""Outlet covers"", ""First aid kit"", ""Keypad"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Fire extinguisher""]",264.0,2,365,2.0,t,19,37,39,219,331,411297,t,,,Active,Active,532 E Eighth ST 07 2 South Boston MA 02127,Owner-Adjacent Unit,1.0,,Active,Active,,-1.0,,,,,
276450,https://www.airbnb.com/rooms/276450,19th Century Luxury | South End | 1BR 1BA #3,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33821,-71.07978,Entire apartment,Entire home/apt,4,1.0,1.0,"[""Oven"", ""Kitchen"", ""Heating"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi"", ""Microwave"", ""Stove"", ""Hair dryer"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Air conditioning"", ""Coffee maker"", ""Dryer"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Iron""]",113.0,30,1125,30.0,t,5,5,5,170,93,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,3_5,False,306.2929466324875,,
