centroid_group,count_listings,count_licenses,license_dict,status_dict,license_exceed_type,minimum_nights,ISD_address_dict,host,host_id,alias_dict,shared_license,avg_USD/night,radius,mean_latitude,mean_longitude,confidence,max_listing_distance,avg_listing_distance,std_listing_distance,GCODE_office,GCODE_house_number,GCODE_road,GCODE_neighbourhood,GCODE_suburb,GCODE_city,GCODE_county,GCODE_state,GCODE_postcode,GCODE_country,GCODE_country_code,GCODE_amenity,GCODE_square,GCODE_building,GCODE_hamlet,GCODE_historic,GCODE_quarter,GCODE_tourism,GCODE_city_block,GCODE_town,GCODE_commercial,GCODE_shop,GCODE_leisure,GCODE_man_made,GCODE_railway,GCODE_natural
9_1,24,1,{'STRLH/STRBB': '24'},{'Exempt (not verified)': '24'},,2.0,{},Barsala,CorpGroup9,{'8534462': '24'},False,156.98,216.24449537632154,42.35183423981347,-71.06421549904465,within 600 ft.,600.01897,327.2327,122.0125,,,Tamworth Street,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,Phillips Square,Union Bank Building,,,,,,,,,,,,
15_1,22,1,{'STRHS': '22'},{'Exempt (not verified)': '22'},,9.0,{},Bluebird,CorpGroup15,{'95459395': '22'},False,171.51,171.53973956778268,42.3515609090909,-71.06071090909091,within 400 ft.,382.64549,271.5479,66.9921,,5,Oxford Place,Chinatown,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,Phillips Square,,,,,,,,,,,,,
5_1,21,1,{'974333': '21'},{'Not found (fabricated)': '21'},,30.0,{},Sonder,CorpGroup5,{'12243051': '21'},False,148.43,196.24672807628372,42.35526428571428,-71.05899666666667,within 500 ft.,490.42404,307.5475,85.4449,,101,Arch Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,Phillips Square,101 Arch Street,,,,,,,,,,,,
5_2,19,1,{'988180': '19'},{'Not found (fabricated)': '19'},,30.0,{},Sonder,CorpGroup5,"{'12243051': '14', '224829568': '5'}",False,307.42,182.000632994227,42.35613789473684,-71.06124105263157,within 450 ft.,430.21689,229.6679,121.0779,,25,Winter Street,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02110-1301,United States of America,us,,Phillips Square,The Conrad,,,,,,,,,,,,
1_5,17,1,{'Missing': '17'},{'No license claimed': '17'},,91.0,{},PCHNortheast,CorpGroup1,{'359229620': '17'},False,226.88,52.0,42.35388999999999,-71.05299000000001,unknown (too close),0.0,0.0,0.0,,530,Atlantic Avenue,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02110,United States of America,us,,,The Lofts at Atlantic Wharf,,,,,,,,,,,,
3_1,15,1,{'STRLH/STRBB': '15'},{'Exempt (not verified)': '15'},,2.0,{},STR Boston,CorpGroup4,{'814298': '15'},False,137.13,182.92839401916248,42.342628,-71.05665733333332,within 450 ft.,437.5812,282.2186,90.1129,,,West Broadway,Church Green,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,The Maiden,,,,,,,,,,,,,,
14_1,14,1,{'Missing': '14'},{'No license claimed': '14'},,91.0,{},Huggy,CorpGroup14,{'18517776': '14'},False,35.57,52.0,42.31676357142857,-71.08000071428573,unknown (too close),17.10552,2.4436,4.22,,37,Maywood Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,
6_2,13,3,"{'STRLH/STRBB': '8', '101773': '3', '011724': '2'}","{'Exempt (not verified)': '8', 'Not found (fabricated)': '5'}",,2.0,{},Bay Village,CorpGroup6,"{'244600805': '11', '285344759': '2'}",False,122.38,123.41857551017723,42.34908153846153,-71.06917846153846,within 300 ft.,303.07913,124.7881,104.0321,,128,Arlington Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,Eugene T. Zanni Square,,,,,,,,,,,,,
20_1,13,1,{'Missing': '13'},{'No license claimed': '13'},,91.0,{},Luxurious,CorpGroup20,{'18202088': '13'},False,146.0,198.81255653214583,42.36750615384615,-71.04088615384615,within 500 ft.,509.12418,294.7302,119.8933,,2,Marginal Street,Gove Street,East Boston,Boston,Suffolk County,Massachusetts,02128,United States of America,us,,,,,,,,,,,,,,,
5_3,12,1,{'Missing': '12'},{'No license claimed': '12'},,30.0,{},Sonder,CorpGroup5,"{'224829568': '9', '12243051': '3'}",False,185.25,182.7731333127353,42.357976666666666,-71.05391916666666,within 450 ft.,464.27676,290.1431,103.8272,,,Milk Street,Waterfront,Financial District,Boston,Suffolk County,Massachusetts,02109,United States of America,us,Flat Black Coffee,,,,,,,,,,,,,,
27_1,12,1,{'423861': '12'},{'Exempt (verified)': '12'},,1.0,{'7 Doris ST 13 Dorchester MA 02125': '12'},Muny,CorpGroup27,{'127718668': '12'},False,183.58,180.94168351434405,42.313159999999996,-71.0562,within 500 ft.,492.91235,280.5643,121.3923,,11,Doris Street,Savin Hill,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,
1_6,11,1,{'Missing': '11'},{'No license claimed': '11'},,91.0,{},PCHNortheast,CorpGroup1,{'359229620': '11'},False,199.36,52.0,42.35124000000001,-71.04449999999999,unknown (too close),0.0,0.0,0.0,,121,Seaport Boulevard,,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,,,,,,Seaport,,,,,,,,,
23_1,11,1,{'Missing': '11'},{'No license claimed': '11'},,28.0,{},Anne,CorpGroup22,{'105851798': '11'},False,50.82,69.48888873704412,42.30765363636364,-71.06540636363637,within 200 ft.,201.24707,105.7869,56.3644,,309,Bowdoin Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,
28_1,11,1,{'STRLH/STRBB': '11'},{'Exempt (not verified)': '11'},,1.0,{},Boston Park Plaza,CorpGroup26,{'243931054': '11'},False,318.09,145.85080092235003,42.35113636363637,-71.06980181818182,within 400 ft.,376.42263,179.0412,151.8671,,50,Park Plaza,Downtown Crossing,Beacon Hill,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Boston Park Plaza,,,,,,,,
19_1,11,1,{'STRHS': '11'},{'Exempt (not verified)': '11'},,1.0,{},Steven,CorpGroup17,{'275849638': '11'},False,337.45,160.23063171012228,42.35825727272728,-71.05453363636364,within 400 ft.,407.36735,239.1771,93.4077,,33,Broad Street,Dock Square,Financial District,Boston,Suffolk County,Massachusetts,02109,United States of America,us,,,,,,,,,,,,,,,
3_2,10,1,{'Missing': '10'},{'No license claimed': '10'},,28.0,{},STR Boston,CorpGroup4,{'814298': '10'},False,51.9,299.5682312592233,42.326073,-71.09600800000001,within 700 ft.,711.10143,403.3769,222.2107,,9,Beech Glen Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02130-0947,United States of America,us,,,,,,,,,,,,,,,
43_1,9,1,{'STRES': '9'},{'Exempt (not verified)': '9'},,1.0,{},Turana,290984032,{},False,89.22,132.28402772903405,42.35072333333333,-71.1352411111111,within 350 ft.,364.84449,195.9311,98.8566,,10,Greylock Road,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,
9_2,9,1,{'STRLH/STRBB': '9'},{'Exempt (not verified)': '9'},,2.0,{},Barsala,CorpGroup9,{'8534462': '9'},False,475.22,134.4808986538597,42.352046666666666,-71.04337444444444,within 350 ft.,341.82303,184.3555,99.6398,,100,Northern Avenue,,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,,,,,,Seaport,,,,,,,,,
29_1,9,1,{'Missing': '9'},{'No license claimed': '9'},,29.0,{},Belkis,CorpGroup28,{'209395207': '9'},False,33.67,161.6928777637482,42.31494,-71.10063777777778,within 450 ft.,448.56927,273.2063,84.0729,,11,Egleston Street,,Roxbury,Boston,Suffolk County,Massachusetts,02130-0947,United States of America,us,,,,,,,,,,,,,,,
14_2,9,1,{'Missing': '9'},{'No license claimed': '9'},,91.0,{},Huggy,CorpGroup14,{'18517776': '9'},False,36.22,52.0,42.31330777777778,-71.09343555555554,within 50 ft.,68.79703,49.2977,19.1452,,23,Homestead Street,Grove Hall,Roxbury,Boston,Suffolk County,Massachusetts,02121,United States of America,us,,,,,,,,,,,,,,,
44_1,9,1,{'STRES': '9'},{'Exempt (not verified)': '9'},,1.0,{},Turana,218525774,{},False,67.22,193.38483919985015,42.35000444444445,-71.13562,within 550 ft.,530.74238,314.9968,110.2631,,17,Price Road,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,
52_1,8,1,{'Missing': '8'},{'No license claimed': '8'},,91.0,{},Jonathan,16052189,{},False,56.5,151.2242022413266,42.236625,-71.13243375,within 350 ft.,345.7737,268.7359,67.674,,1829,Hyde Park Avenue,Readville,,Boston,Suffolk County,Massachusetts,02136-2460,United States of America,us,,,,,,,,,,,,,,,
14_3,8,1,{'Missing': '8'},{'No license claimed': '8'},,91.0,{},Huggy,CorpGroup14,{'18517776': '8'},False,36.5,52.0,42.30538375,-71.07222125,within 50 ft.,64.22312,16.0558,19.4625,,76,Olney Street,Mount Bowdoin,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,
3_3,8,1,{'Missing': '8'},{'No license claimed': '8'},,91.0,{},STR Boston,CorpGroup4,{'814298': '8'},False,47.62,140.04759932273333,42.32939875,-71.0924725,within 350 ft.,347.7213,227.9251,109.4166,,18,Centre Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,
41_1,7,1,{'STRHS': '7'},{'Exempt (not verified)': '7'},,1.0,{},Luxury Medical Suites,300941849,{},False,196.0,94.58336028113482,42.34647857142858,-71.07856428571428,within 250 ft.,271.58354,175.6666,68.9611,,110,Huntington Avenue,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,Boston Marriott Copley Place,,,,,,,,
24_1,7,1,{'413525': '7'},{'Active (limit exceeded)': '7'},listing,1.0,{'422 Bowdoin ST 15 2 Dorchester MA 02122': '7'},Eder,CorpGroup23,{'25203946': '7'},False,359.0,118.83154923967773,42.309605714285716,-71.06254428571428,within 350 ft.,348.15308,156.4894,108.0193,,12,Winter Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,
4_2,7,1,{'Missing': '7'},{'No license claimed': '7'},,32.0,{},Blueground,CorpGroup3,{'107434423': '7'},False,181.0,120.58551578429609,42.34889714285715,-71.04454857142856,within 350 ft.,329.93834,166.5432,115.9436,,399,Congress Street,Seaport District,Financial District,Boston,Suffolk County,Massachusetts,02210,United States of America,us,,,NEMA Boston,,,,,,,,,,,,
22_1,7,1,{'STRES': '7'},{'Exempt (not verified)': '7'},,9.0,{},Compass,CorpGroup21,{'20857768': '7'},False,136.0,165.00524802391467,42.34676857142857,-71.08881714285714,within 500 ft.,480.20895,274.1874,125.9348,,1112;1114;1116,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,Charles Newcomb Square,,,,,,,,,,,,,
11_1,7,1,{'Missing': '7'},{'No license claimed': '7'},,30.0,{},Lance,CorpGroup11,{'71783': '7'},False,70.29,95.2551744815331,42.322475714285716,-71.06082857142857,within 300 ft.,323.23742,167.3778,78.0917,,4,Saint Margaret Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,
8_2,7,1,{'STRES': '7'},{'Exempt (not verified)': '7'},,1.0,{},Evonify,CorpGroup8,{'212359760': '7'},False,136.43,68.56073266850039,42.342304285714285,-71.08312571428571,within 200 ft.,183.87077,102.5927,42.4033,,7,Albemarle Street,,South End,Boston,Suffolk County,Massachusetts,02115,United States of America,us,,,,,,,,,,,,,,,
4_1,7,1,{'Missing': '7'},{'No license claimed': '7'},,32.0,{},Blueground,CorpGroup3,{'107434423': '7'},False,141.86,186.08976829420007,42.359027142857144,-71.06640142857144,within 500 ft.,507.06459,295.688,132.5905,,35,Pinckney Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02114,United States of America,us,,,,,,,,Charles River Square,,,,,,,
62_1,7,1,{'STRLH/STRBB': '7'},{'Exempt (not verified)': '7'},,1.0,{},Laura And Olivia,5430185,{},False,156.86,52.0,42.34300714285714,-71.07307285714286,unknown (too close),39.26973,23.8859,14.246,,594,Tremont Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,Anthony C. Aveni Square,,,,,,,,,,,,,
35_1,6,1,{'STRES': '6'},{'Exempt (not verified)': '6'},,4.0,{},Boaton Corporate Housing,CorpGroup32,{'20079643': '6'},False,288.17,85.43901167970206,42.364868333333334,-71.06910333333333,within 200 ft.,218.5461,152.9731,38.5313,,,Emerson Place,Waterfront,West End,Boston,Suffolk County,Massachusetts,02214,United States of America,us,,,Vesta at West End Apartments,,,,,,,,,,,,
4_3,6,1,{'Missing': '6'},{'No license claimed': '6'},,32.0,{},Blueground,CorpGroup3,{'107434423': '6'},False,173.5,52.0,42.34114,-71.04958,unknown (too close),0.0,0.0,0.0,,320,D Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,
64_1,6,1,{'387420': '6'},{'Active (limit exceeded)': '6'},listing,1.0,{'11 Lonsdale ST 16 2 Dorchester MA 02124': '6'},Natalia,15583990,{},False,120.83,52.0,42.289941666666664,-71.06243666666667,within 50 ft.,70.68035,23.5601,23.0841,,11,Lonsdale Street,Fields Corner,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,
16_1,6,1,{'Missing': '6'},{'No license claimed': '6'},,30.0,{},Marie,16186589,{},False,51.5,188.7706864639929,42.289073333333334,-71.06730166666667,within 500 ft.,494.73213,314.9043,134.7381,,74,Welles Avenue,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,
75_1,6,1,{'STRLH/STRBB': '6'},{'Exempt (not verified)': '6'},,1.0,{},Studio Allston Hotel,261039449,{},False,208.67,52.0,42.36417,-71.13637,unknown (too close),0.0,0.0,0.0,,1234,Soldiers Field Road,North Brighton,Allston,Boston,Suffolk County,Massachusetts,02135,United States of America,us,,,,,,,Days Inn,,,,,,,,
11_2,6,1,{'Missing': '6'},{'No license claimed': '6'},,29.0,{},Lance,CorpGroup11,{'71783': '6'},False,81.33,52.0,42.31379166666667,-71.06116333333333,unknown (too close),41.88615,26.7755,10.8492,,14,Peverell Street,Kane Square,Dorchester,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,
49_1,6,1,{'Missing': '6'},{'No license claimed': '6'},,91.0,{},Ken,156053359,{},False,45.0,64.27842200634436,42.291515,-71.066445,within 150 ft.,163.4371,121.5579,41.9411,,129A,Centre Street,Dorchester Center,Dorchester,Boston,Suffolk County,Massachusetts,01210,United States of America,us,,,,,,,,,,,,,,,
65_1,6,1,{'415050': '6'},{'Active (limit exceeded)': '6'},listing,3.0,{'6 Saint Margaret ST 07 2 Boston MA 02125': '6'},Karolina,167556315,{},False,111.83,53.359075113708634,42.322325,-71.06056666666667,within 200 ft.,214.2096,76.0345,69.0826,,8,Saint Margaret Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,02125,United States of America,us,,,,,,,,,,,,,,,
71_1,6,1,{'Missing': '6'},{'No license claimed': '6'},,28.0,{},Glenn,CorpGroup41,{'9653086': '6'},False,95.5,146.10826018277777,42.340918333333335,-71.07602833333333,within 350 ft.,357.08468,255.1907,73.5403,,,West Newton Street,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,Jorge Hernandez Cultural Center,,,,,,,,,,,,,,
17_1,6,1,{'Missing': '6'},{'No license claimed': '6'},,28.0,{},STARS,CorpGroup16,"{'31340713': '3', '266312920': '3'}",False,126.17,158.29100455098842,42.34011666666666,-71.14586999999999,within 400 ft.,395.17997,269.168,108.1255,,100,Kilsyth Road,Beaconsfield,,,Suffolk County,Massachusetts,02445-5841,United States of America,us,,,,,,,,,Brookline,,,,,,
95_1,5,1,{'398249': '5'},{'Active': '5'},,1.0,{'589 Saratoga ST 01 2 East Boston MA 02128': '5'},Lance And Shelly,139072570,{},False,53.8,52.0,42.381384,-71.02311999999999,unknown (too close),18.62094,7.5182,7.2008,,589,Saratoga Street,Day Square,East Boston,Boston,Suffolk County,Massachusetts,0212,United States of America,us,,,,,,,,,,,,,,,
39_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,91.0,{},Mac,CorpGroup37,{'26704689': '5'},False,97.4,95.9931912636954,42.336132,-71.053422,within 300 ft.,295.04534,136.798,112.0234,,112,West Seventh Street,Dorchester Heights,South Boston,Boston,Suffolk County,Massachusetts,02127,United States of America,us,,,,,,,,,,,,,,,
53_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,28.0,{},Teresa & Jonathan,299340250,{},False,41.2,88.70197653615566,42.323722,-71.069146,within 200 ft.,210.82256,144.2387,75.193,,78,Burrell Street,Uphams Corner,South End,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,,,,,,,,,,,,,
21_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,91.0,{},Ann,CorpGroup19,{'41932249': '5'},False,72.4,130.56833234265616,42.336636000000006,-71.079098,within 350 ft.,351.68705,217.2446,112.6409,,553,Shawmut Avenue,South End,South End,Boston,Suffolk County,Massachusetts,02118,United States of America,us,,,,,,,,,,,,,,,
90_1,5,1,{'STRHS': '5'},{'Exempt (not verified)': '5'},,2.0,{},Eric,71393113,{},False,183.23,120.3540724528547,42.346932,-71.089004,within 350 ft.,356.38805,185.4449,114.3554,,1123,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02215,United States of America,us,,Charles Newcomb Square,Berklee Communications Office,,,,,,,,,,,,
100_1,5,1,{'390690': '5'},{'Not found (fabricated)': '5'},,2.0,{},Premier Suites,331132678,{},True,150.89,137.53381171040547,42.355088,-71.06114600000001,within 350 ft.,358.59602,227.4034,121.3961,,60,Temple Place,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,Phillips Square,,,,,,,,,,,,,
104_1,5,1,{'409469': '5'},{'Active': '5'},,1.0,{'4 Richfield ST 15 3 Dorchester MA 02125': '5'},Elizabeth & Iva,265284433,{},False,64.4,134.89882943360502,42.308828000000005,-71.07233799999999,within 350 ft.,343.05671,202.6176,128.876,,12,Richfield Street,Grove Hall,Dorchester,Boston,Suffolk County,Massachusetts,02212,United States of America,us,,,,,,,,,,,,,,,
72_1,5,1,{'415974': '5'},{'Active (limit exceeded)': '5'},listing,1.0,{'53 Caryll ST 17 Mattapan MA 02126': '5'},Althea,27871799,{},False,49.0,81.60073822979646,42.275198,-71.07725,within 300 ft.,283.20925,131.7689,89.9835,,46,Caryll Street,Lower Mills,,Boston,Suffolk County,Massachusetts,02126,United States of America,us,,,,,,,,,,,,,,,
3_6,5,1,{'STRLH/STRBB': '5'},{'Exempt (not verified)': '5'},,2.0,{},STR Boston,CorpGroup4,{'814298': '5'},False,100.4,131.60692693384465,42.359232,-71.07102,within 350 ft.,344.41992,207.823,112.0953,,120,Charles Street,,Beacon Hill,Boston,Suffolk County,Massachusetts,02114,United States of America,us,,,,,,,,Charles River Square,,,,,,,
68_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,91.0,{},Huggy,145930475,{},False,35.0,110.8833095875261,42.326651999999996,-71.079624,within 300 ft.,281.10533,184.8653,84.018,,32,Mount Pleasant Terrace,Nubian Square,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,
81_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,91.0,{},Hank,9974594,{},False,83.2,104.70225669067744,42.350606,-71.13418399999999,within 300 ft.,299.24376,180.1629,93.7231,,20,Greylock Road,,Allston,Boston,Suffolk County,Massachusetts,02134,United States of America,us,,,,,,,,,,,,,,,
11_3,5,1,{'Missing': '5'},{'No license claimed': '5'},,32.0,{},Lance,CorpGroup11,{'71783': '5'},False,90.4,75.85787866265416,42.331452,-71.109206,within 200 ft.,201.27265,167.2568,37.6942,,44,Parker Hill Avenue,,Roxbury,Boston,Suffolk County,Massachusetts,02120,United States of America,us,,,,,,,,,,,,,,,
91_1,5,1,{'STRLH/STRBB': '5'},{'Exempt (not verified)': '5'},,1.0,{},Charlesmark,224820689,{},False,171.06,52.0,42.350044000000004,-71.078574,unknown (too close),24.20942,9.6838,8.1201,,655,Boylston Street,,Back Bay,Boston,Suffolk County,Massachusetts,02116,United States of America,us,,,,,,,,,,,,,,,
40_1,5,1,{'413706': '5'},{'Active (limit exceeded)': '5'},listing,2.0,{'2 Faulkner CIR 16 Apt 2 Dorchester MA 02122': '5'},Maria & Kevin,CorpGroup39,{'39266840': '5'},False,77.2,71.72997007446112,42.300328,-71.061136,within 200 ft.,208.58516,120.9896,56.5631,,,Fields Corner Station,Fields Corner,Dorchester,Boston,Suffolk County,Massachusetts,02122,United States of America,us,,,,,,,,,,,,,,,
85_1,5,1,{'387480': '5'},{'Active (limit exceeded)': '5'},listing,1.0,{'55 Perthshire RD 22 2 Brighton MA 02135': '5'},Charles,16441460,{},False,46.8,52.0,42.354023999999995,-71.167758,within 50 ft.,56.85462,22.7775,21.2753,,55,Perthshire Road,Faneuil,Brighton,Boston,Suffolk County,Massachusetts,02435,United States of America,us,,,,,,,,,,,,,,,
33_1,5,1,{'STRES': '5'},{'Exempt (not verified)': '5'},,2.0,{},Voyage,CorpGroup33,{'2356643': '5'},False,79.49,143.46670338667528,42.35206,-71.06362999999999,within 400 ft.,396.01271,234.7027,121.7629,,,Boylston Square,Chinatown,Beacon Hill,Boston,Suffolk County,Massachusetts,02111,United States of America,us,,Phillips Square,40 Boylston,,,,,,,,,,,,
22_2,5,1,{'STRES': '5'},{'Exempt (not verified)': '5'},,9.0,{},Compass,CorpGroup21,{'20857768': '5'},False,137.6,52.0,42.356312,-71.06109799999999,within 100 ft.,110.28849,88.5912,26.9455,,1,Hamilton Place,Downtown Crossing,Financial District,Boston,Suffolk County,Massachusetts,02108,United States of America,us,Orpheum Theatre,Pemberton Square,,,,,,,,,,,,,
94_1,5,1,{'415714': '5'},{'Active (limit exceeded)': '5'},listing,14.0,{'30 Juniper ST 09 2 Roxbury MA 02119': '5'},Michelle,255183,{},False,71.0,67.6996720326947,42.325672,-71.088898,within 200 ft.,217.31558,113.8706,60.3255,,30,Juniper Street,Roxbury Crossing,Roxbury,Boston,Suffolk County,Massachusetts,02119,United States of America,us,,,,,,,,,,,,,,,
50_1,5,1,{'Missing': '5'},{'No license claimed': '5'},,91.0,{},Agnieszka,18479599,{},False,86.0,115.54828862328,42.324582,-71.05900399999999,within 300 ft.,321.45337,210.9716,70.0748,,24,Bellflower Street,Uphams Corner,South Boston,Boston,Suffolk County,Massachusetts,01125,United States of America,us,,,Bellflower Court,,,,,,,,,,,,
